Station name;Parameter section;Parameter name;Value;Min Value;Max Value
ST 2 - PARTICLE;AcquisitionParameter;Vial format number;0;;
ST 2 - PARTICLE;AcquisitionParameter;$vialFormatDesc;BERNO 2ml TRASP;;
ST 2 - PARTICLE;AcquisitionParameter;Number of frames;18;25;4
ST 2 - PARTICLE;AcquisitionParameter;Exposure time [us];35;10000;1
ST 2 - PARTICLE;AcquisitionParameter;Gain;0;1023;0
ST 2 - PARTICLE;AcquisitionParameter;$strobeEnable;1;1;0
ST 2 - PARTICLE;AcquisitionParameter;Strobe pulse width [us];27;260;10
ST 2 - PARTICLE;AcquisitionParameter;Acquisition delay [us];0;1000;0
ST 2 - PARTICLE;AcquisitionParameter;Blue gain;0;1000;0
ST 2 - PARTICLE;AcquisitionParameter;Red gain;0;1000;0
ST 2 - PARTICLE;AcquisitionParameter;Green gain;0;1000;0
ST 2 - PARTICLE;AcquisitionParameter;Strobe out;0;1000;0
ST 2 - PARTICLE;AcquisitionParameter;Trigger input;0;1000;0
ST 2 - PARTICLE;AcquisitionParameter;A.O.I. Enable;1;1;0
ST 2 - PARTICLE;AcquisitionParameter;A.O.I. X Start;576;2047;0
ST 2 - PARTICLE;AcquisitionParameter;A.O.I. Y Start;0;2047;0
ST 2 - PARTICLE;AcquisitionParameter;A.O.I. X Width;896;2048;16
ST 2 - PARTICLE;AcquisitionParameter;A.O.I. Y Width;2048;2048;64
ST 2 - PARTICLE;AcquisitionParameter;Camera IP address;192.168.12.22;;
ST 2 - PARTICLE;AcquisitionParameter;Vial axis filename;192.168.12.22_vial_24000.xml;;
ST 2 - PARTICLE;FeaturesEnableParameter;Analysis enable;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Overlay information enable;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Blobs print enable;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Bubbles print enable;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable saving difference images;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable save trajectory;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Send decimated live;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable send result image;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Send trajectories;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable meniscus analysis;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Meniscus analysis plot;1;2;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable sensor normalization;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable dynamic ROI;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable ROI plot on results;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable ROI bottom expansion;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable Kalman filter for tracking;0;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable filling analysis;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable blob masking;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;Enable blob masking print;1;1;0
ST 2 - PARTICLE;FeaturesEnableParameter;$trajectoryPrint;0;1;0
ST 2 - PARTICLE;RecipeSimpleParameter;RLE low threshold;10;255;0
ST 2 - PARTICLE;RecipeSimpleParameter;ROI dynamic high threshold;243;255;0
ST 2 - PARTICLE;RecipeSimpleParameter;ROI dynamic low threshold;80;255;0
ST 2 - PARTICLE;RecipeSimpleParameter;$ROIDynamicBottonReductcion;0;255;0
ST 2 - PARTICLE;RecipeSimpleParameter;$ROIDynamicMeniscusReductcion;15;255;0
ST 2 - PARTICLE;RecipeSimpleParameter;Meniscus P.U.M. threshold;110;255;0
ST 2 - PARTICLE;RecipeSimpleParameter;Blob max area reject;300;100000;0
ST 2 - PARTICLE;RecipeSimpleParameter;Blobs min area;15;10000;0
ST 2 - PARTICLE;RecipeSimpleParameter;$blobMaxAreaRejectLowThreshold;300;100000;0
ST 2 - PARTICLE;RecipeSimpleParameter;Tracking max distance;100;2048;0
ST 2 - PARTICLE;RecipeSimpleParameter;Trajectory max angle;70;90;0
ST 2 - PARTICLE;RecipeSimpleParameter;Trajectory min area;10;10000;0
ST 2 - PARTICLE;RecipeSimpleParameter;Trajectory min segment number;3;10000;0
