Station name;Parameter section;Parameter name;Value;Min Value;Max Value
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Number of frames;0;100;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Exposure time [us];1000;10000;1
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Gain;0;1023;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;$strobeEnable;0;1;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Strobe pulse width [us];1000;10000;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Acquisition delay [us];0;1000;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Blue gain;250;1000;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Red gain;250;1000;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Green gain;250;1000;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Strobe pin out;1;1000;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;Trigger input;0;1000;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;A.O.I. Enable;1;1;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;A.O.I. X Start;0;1023;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;A.O.I. Y Start;0;767;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;A.O.I. X Width;0;1024;0
ST0 - CAM0 - TIP CONTROL;AcquisitionParameter;A.O.I. Y Width;0;768;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;M12 Inspection analysis;0;5;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;Result on Display Enabled;5;10;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;On/Off Draw Ring;1;1;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$enableHead;0;1;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$ARGBottleFlipOffInspectionType;1;2;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$ARGBottleSleeveInspectionType;4;4;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$ARGBottleWeldingInspectionType;1;1;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$ARGBottleTopDetect;1;2;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$ARGBottleTopInspectionType;0;4;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$ARGColorConversionChannel;3;8;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$ARGBottleFlipOffPresent;1;1;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$debugPrint;1;1;0
ST0 - CAM0 - TIP CONTROL;FeaturesEnableParameter;$logImages;0;1;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;LowValue BinBlob;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;MinArea BinBlob;500;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;LUT High;200;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;LUT Low;0;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Rings Contrast thr;130;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Ring Height;30;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Ring 1 HUE;-100;10000;-10000
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Ring 2 HUE;150;10000;-10000
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Ring 3 HUE;200;10000;-10000
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;EdgeSum Threshold;10;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;TIP Edge Tol;40;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;BinBlob BlobAreaMin;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;BinBlob BlobAreaMax;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;BinBlob Max Blobs;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;BinBlob Max Blobs;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;BinBlob Sum Blobs AreaMax;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;BinBlob Sum Blobs AreaMax;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRTipControlIntegralSumMin;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;TipControl Integral SumMax;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRTipControlMaxAngularDeviationMin;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Max Angle Deviation;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRTipControlMaxDistanceFromModelMin;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;TipControl Max Distance from Model;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Min Tip Height;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Max Tip Height;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRCheckRingNumberOfRingsMin;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;Number rings;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRCheckRingColorRing1Min;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRCheckRingColorRing1Max;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRCheckRingColorRing2Min;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRCheckRingColorRing2Max;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRCheckRingColorRing3Min;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$THRCheckRingColorRing3Max;0;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$time;17;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleFlipOffBadBoxArea;5;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleFlipOffBlobMinArea;100;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleFlipOffBlobMaxArea;10000;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleFlipOffGrayMin;0;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleFlipOffGrayMax;20;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleFlipOffGrayRelative;-1;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleFlipOffGridSensibility;2;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleSleeveBadBoxArea;50;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleSleeveBlobMinArea;100;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleSleeveBlobMaxArea;50000;100000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleSleeveGrayMin;100;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleSleeveGrayMax;255;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleSleeveGrayRelative;40;255;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleSleeveGridSensibility;2;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleWeldingSensibility;60;10000;0
ST0 - CAM0 - TIP CONTROL;RecipeSimpleParameter;$ARGBottleTopBlobMinArea;100;10000;0
