Station name;Parameter section;Parameter name;Value;Min Value;Max Value
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Number of frames;0;100;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Exposure time [us];1000;10000;1
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Gain;0;1023;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;On/Off Strobo;0;1;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Strobe pulse width [us];1000;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Acquisition delay [us];0;1000;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Blue gain;250;1000;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Red gain;250;1000;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Green gain;250;1000;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Strobe pin out;1;1000;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;Trigger input;0;1000;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;A.O.I. Enable;1;1;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;A.O.I. X Start;0;1023;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;A.O.I. Y Start;0;767;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;A.O.I. X Width;0;1024;0
ST0 - CAM0 - FLIPOFF INSPECTION;AcquisitionParameter;A.O.I. Y Width;0;768;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;M12 Inspection analysis;4;5;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;Result on Display Enabled;5;15;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;On/Off Draw Ring;1;1;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;On/off M12 camera;1;1;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;FlipOff Analysis type;1;8;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;AluSeal Analysis type;4;8;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;Type Crimping Analysis;1;8;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;FlipOff detection type;1;8;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;Type FlipOff Analysis;1;8;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;Select Color conversion;2;8;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;On/off presenza FlipOff;1;1;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;On/Off Debug Info;1;1;0
ST0 - CAM0 - FLIPOFF INSPECTION;FeaturesEnableParameter;On/Off Images saving;0;1;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;LowValue BinBlob;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;MinArea BinBlob;500;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;LUT High;200;255;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;LUT Low;0;255;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Rings Contrast thr;130;255;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Ring Height;30;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Ring 1 HUE;-100;255;-255
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Ring 2 HUE;150;255;-255
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Ring 3 HUE;200;255;-255
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;EdgeSum Threshold;10;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;TIP Edge Tol;40;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;BinBlob BlobAreaMin;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;BinBlob BlobAreaMax;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;BinBlob Max Blobs;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;BinBlob Max Blobs;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;BinBlob Sum Blobs AreaMax;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;BinBlob Sum Blobs AreaMax;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;$THRTipControlIntegralSumMin;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;TipControl Integral SumMax;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;TipControl AngularDeviation Min;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max Angle Deviation;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;$THRTipControlMaxDistanceFromModelMin;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;TipControl Max Distance from Model;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Min Tip Height;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max Tip Height;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;$THRCheckRingNumberOfRingsMin;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Number rings;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Min Color Ring 1;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max Color Ring 1;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Min Color Ring 2;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max Color Ring 2;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Min Color Ring 3;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max Color Ring 3;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Elab Time;22;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Box Area;5;100000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Min Blob area ;100;100000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Max Blob area ;10000;100000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Bin Low;0;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Bin High;20;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Gray Relative;-1;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Sensibility;2;10000;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;AluSeal Box Area;50;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;AluSeal Min Area;100;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;AluSeal Max Area;50000;1000000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;AluSeal Bin Low;100;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;AluSeal Bin High;255;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Gray Relative;40;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Crimping Sensibility;2;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Crimping sensibility;60;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Min Area;10;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff Max Area;80000;10000000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Min Color;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max Color;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Low Gray Level;38;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;High Gray Level;243;255;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max Gray Level;50;10000;-1
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;FlipOff manual ROI dimention;150;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Min FlipOff Width;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Max FlipOff Width;0;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Vial Min Height;146;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;Vial Max Height;186;10000;0
ST0 - CAM0 - FLIPOFF INSPECTION;RecipeSimpleParameter;AluSeal Min Width;0;10000;0
